number;id;comments;title;createdAt;closedAt
1;MDU6SXNzdWU0MjQ4NDY3OA==;{'totalCount': 1};Abstract XHR to node's http;2014-09-11T03:11:49Z;2014-09-12T20:10:25Z
2;MDU6SXNzdWU0MjY3Mzc2NQ==;{'totalCount': 22};Support file uploads;2014-09-12T21:45:07Z;2016-04-21T16:43:54Z
3;MDU6SXNzdWU0MjY4MDE5OQ==;{'totalCount': 10};http not posting data in node;2014-09-12T23:34:35Z;2014-09-17T00:29:24Z
4;MDU6SXNzdWU0MjcxMjI5Ng==;{'totalCount': 0};Bundling with browserify/webpack;2014-09-14T04:18:10Z;2014-09-15T03:10:53Z
7;MDU6SXNzdWU0Mjg4MTIwMg==;{'totalCount': 0};Promise doesn't support multiple args;2014-09-16T13:26:06Z;2014-09-16T17:51:57Z
8;MDU6SXNzdWU0MjkxMTMwNw==;{'totalCount': 0};axios.all doesn't work;2014-09-16T17:48:27Z;2014-09-16T17:53:08Z
9;MDU6SXNzdWU0Mjk0OTUwMw==;{'totalCount': 1};Incorrect Content-Type header used;2014-09-17T00:27:04Z;2014-09-21T22:57:19Z
11;MDU6SXNzdWU0MzI1NTA0Ng==;{'totalCount': 6};Allow build without es6 promise polyfill;2014-09-19T16:10:00Z;2014-09-28T22:11:52Z
12;MDU6SXNzdWU0MzMyNjI5MQ==;{'totalCount': 6};SSL Support in Node;2014-09-21T04:20:59Z;2014-09-22T17:18:25Z
14;MDU6SXNzdWU0MzUyNTQwMw==;{'totalCount': 4};Support interceptors;2014-09-22T17:57:21Z;2014-12-08T19:28:34Z
16;MDU6SXNzdWU0NDU3OTMzMg==;{'totalCount': 1};Support named results in .all;2014-10-01T15:44:31Z;2014-10-04T05:24:48Z
17;MDU6SXNzdWU0NTUzMDQ5Mg==;{'totalCount': 4};node.js exits before request finishes;2014-10-10T22:34:46Z;2014-10-14T22:17:44Z
18;MDU6SXNzdWU0NTUzMDk1Nw==;{'totalCount': 16};unhandled 'error' event in node;2014-10-10T22:42:28Z;2014-10-15T17:12:52Z
19;MDU6SXNzdWU0NjIxMjgwOA==;{'totalCount': 9};Async transforms;2014-10-19T18:23:42Z;2014-10-21T07:33:47Z
20;MDU6SXNzdWU0NjIxNjgzNg==;{'totalCount': 10};Set response encoding;2014-10-19T20:45:37Z;2015-12-11T19:35:52Z
23;MDU6SXNzdWU0Nzg4NTEzOA==;{'totalCount': 5};Deflate/gunzip;2014-11-05T20:39:41Z;2015-02-17T08:28:40Z
24;MDU6SXNzdWU0Nzk0Mjk5NQ==;{'totalCount': 9};Reject with error;2014-11-06T09:56:48Z;2016-06-14T04:26:29Z
26;MDU6SXNzdWU1MDM1NzE3NQ==;{'totalCount': 3};Lowercase PATCH verb sent in CORS preflight request result in a rejected method when the server responds with an uppercase PATCH allow-methods;2014-11-28T09:48:55Z;2014-12-10T15:50:01Z
28;MDU6SXNzdWU1MTMwNDM2MQ==;{'totalCount': 1};"Support ""foo"" as valid json";2014-12-08T13:58:21Z;2014-12-08T14:05:45Z
29;MDU6SXNzdWU1MTM5MDA3Mg==;{'totalCount': 2};Standalone build possibly broken;2014-12-09T05:42:43Z;2014-12-11T06:53:17Z
31;MDU6SXNzdWU1MTcwOTM1OA==;{'totalCount': 18};Add support for caching GET requests;2014-12-11T16:45:10Z;2016-08-10T23:21:24Z
33;MDU6SXNzdWU1Mzc2ODY5NA==;{'totalCount': 1};Don't throw an error on bad status code;2015-01-08T16:20:45Z;2015-01-08T16:50:53Z
34;MDU6SXNzdWU1NDA0MDYxOQ==;{'totalCount': 18};Support finally?;2015-01-12T10:53:43Z;2015-01-22T19:59:34Z
36;MDU6SXNzdWU1NDg1NDgxMw==;{'totalCount': 4};Use it with almond;2015-01-20T08:16:25Z;2015-01-22T18:11:53Z
38;MDU6SXNzdWU1NTYyNzEwMw==;{'totalCount': 5};corrupted multibyte characters in node;2015-01-27T14:52:54Z;2015-02-03T05:04:21Z
39;MDU6SXNzdWU1NTc4MTYxMA==;{'totalCount': 3};route-specific interceptors;2015-01-28T16:45:18Z;2016-03-31T21:48:04Z
40;MDU6SXNzdWU1NTc5ODAxMA==;{'totalCount': 9};Example of mocking response with interceptor;2015-01-28T18:48:56Z;2015-04-08T01:22:57Z
41;MDU6SXNzdWU1NjQxOTg5NQ==;{'totalCount': 17};Don't throw error / catch on 400-level responses;2015-02-03T18:52:56Z;2016-04-26T20:18:58Z
42;MDU6SXNzdWU1NzQ0ODg1Mw==;{'totalCount': 2};Provide .done() or other method to throw Exception out of chain;2015-02-12T11:33:14Z;2015-02-17T09:00:57Z
43;MDU6SXNzdWU1NzgwNjQyNQ==;{'totalCount': 2};Cannot run specs: ReferenceError: Can't find variable: getJasmineRequireObj;2015-02-16T13:51:07Z;2015-02-17T08:27:10Z
44;MDU6SXNzdWU1ODcwNjMzMA==;{'totalCount': 32};Configure the promise implementation;2015-02-24T08:12:51Z;2015-06-19T04:54:11Z
45;MDU6SXNzdWU1OTc5ODg5NQ==;{'totalCount': 4};Uncaught TypeError: 'caller', 'callee', and 'arguments' properties may not be accessed on strict mode functions or the arguments objects for calls to them;2015-03-04T13:43:14Z;2015-03-10T20:30:56Z
46;MDU6SXNzdWU1OTk1ODkxOQ==;{'totalCount': 1};Provide access to the response's statusText;2015-03-05T14:31:04Z;2015-03-13T23:07:53Z
47;MDU6SXNzdWU2MDU2NDM4MA==;{'totalCount': 1};Standalone build errors trying to call polyfill;2015-03-10T20:30:22Z;2015-03-10T20:30:56Z
48;MDU6SXNzdWU2MDU5OTQ3Mg==;{'totalCount': 9};NodeJS - Cookie Jar Support;2015-03-11T02:08:23Z;2017-04-02T13:04:46Z
50;MDU6SXNzdWU2MjY5NzY5Mg==;{'totalCount': 38};No Clear way to abort XmlHttpRequest;2015-03-18T13:46:08Z;2016-08-10T23:23:00Z
51;MDU6SXNzdWU2MjgyNDE5NQ==;{'totalCount': 2};ES6-Promise;2015-03-18T23:04:14Z;2015-03-19T16:13:39Z
53;MDU6SXNzdWU2NTMyOTc2Mg==;{'totalCount': 2};FormData() with 'Content-Type': 'multipart/form-data'?;2015-03-30T23:49:41Z;2015-04-08T18:46:10Z
55;MDU6SXNzdWU2NzAzNjMxOQ==;{'totalCount': 0};Blindly use JSON.parse when transforming response data;2015-04-08T02:51:03Z;2015-04-08T02:54:50Z
56;MDU6SXNzdWU2NzEwNDc0OQ==;{'totalCount': 9};Timeout configuration?;2015-04-08T11:03:59Z;2015-06-19T04:18:27Z
